"title","speaker","scripture","date","videoURL","audioURL"
"3 Spirits Attacking the Church Part 3, The Spirit of Fear","Pastor Walter T. Branch","Isaiah 41:10-13","2016-11-20T10:30:00","https://gwc-s3.s3.amazonaws.com/7714/8518/7494/11-20-16.mp4","https://gwc-s3.s3.amazonaws.com/3414/8518/7305/11-20-16_audio.mp3"
"3 Spirits Attacking the Church Part 2, The Spirit of Discouragement","Pastor Walter T. Branch","1 Samuel 30:6","2016-11-13T10:30:00","https://gwc-s3.s3.amazonaws.com/7214/8518/7490/11-13-16.mp4","https://gwc-s3.s3.amazonaws.com/5714/8518/7304/11-13-16_audio.mp3"
"3 Spirits Attacking the Church Part 1, The Deaf & Dumb Spirit","Pastor Walter T. Branch","Mark 9:14-27","2016-11-06T10:30:00","https://gwc-s3.s3.amazonaws.com/2914/8518/7486/11-06-16.mp4","https://gwc-s3.s3.amazonaws.com/4514/8518/7303/11-06-16_audio.mp3"
"A Watchman On the Wall","Pastor Walter T. Branch","1 Corinthians 12:27-31","2016-10-30T10:30:00","https://gwc-s3.s3.amazonaws.com/3014/8518/7480/10-30-16.mp4","https://gwc-s3.s3.amazonaws.com/1014/8518/7302/10-30-16_audio.mp3"
"The Anointing","Pastor Walter T. Branch","John 7:14-17","2016-10-23T10:30:00","https://gwc-s3.s3.amazonaws.com/6114/8518/7476/10-23-161.mp4","https://gwc-s3.s3.amazonaws.com/8914/8518/7300/10-23-16_audio1.mp3"
"You Have What it Takes","Pastor Walter T. Branch","Mark 5:22-31","2016-10-16T10:30:00","https://gwc-s3.s3.amazonaws.com/4114/8518/7472/10-16-161.mp4","https://gwc-s3.s3.amazonaws.com/1614/8518/7300/10-16-16_audio1.mp3"
"Reckoning Day","Pastor Walter T. Branch","Romans 6:10-12","2016-10-09T10:30:00","https://gwc-s3.s3.amazonaws.com/4014/8518/7465/10-09-161.mp4","https://gwc-s3.s3.amazonaws.com/2114/8518/7298/10-09-16_audio1.mp3"
"Don't Say A Word","Pastor Walter T. Branch","Romans 8:30-31","2016-10-02T10:30:00","https://gwc-s3.s3.amazonaws.com/2714/8518/7459/10-02-16.mp4","https://gwc-s3.s3.amazonaws.com/6114/8518/7297/10-02-16_audio.mp3"
"The Inner Man","Pastor Walter T. Branch","Ephesians 4:11-13","2016-09-25T10:30:00","https://gwc-s3.s3.amazonaws.com/8614/8518/7454/09-25-16.mp4","https://gwc-s3.s3.amazonaws.com/5014/8518/7295/09-25-16_audio.mp3"
"A Glass Darkly","Pastor Walter T. Branch","Isaiah 6:1-13","2016-09-18T10:30:00","https://gwc-s3.s3.amazonaws.com/3714/8518/7448/09-18-16.mp4","https://gwc-s3.s3.amazonaws.com/4914/8518/7293/09-18-16_audio1.mp3"
"Perpetual Fire","Missionary David Hodges","Genesis 1:1-5","2016-09-11T10:30:00","https://gwc-s3.s3.amazonaws.com/8814/8518/7442/09-11-161.mp4","https://gwc-s3.s3.amazonaws.com/7114/8518/7291/09-11-16_audio1.mp3"
"Distractions","Pastor Walter T. Branch","Luke 12:11-15","2016-09-04T10:30:00","https://gwc-s3.s3.amazonaws.com/3414/8518/7438/09-04-161.mp4","https://gwc-s3.s3.amazonaws.com/2014/8518/7290/09-04-16_audio1.mp3"
"Because We're Chosen","Pastor Walter T. Branch","John 14:1-4","2016-08-28T10:30:00","https://gwc-s3.s3.amazonaws.com/3414/8518/7426/08-28-161.mp4","https://gwc-s3.s3.amazonaws.com/5014/8518/7286/08-28-16_audio1.mp3"
"Be Loosed","Pastor Walter T. Branch","John 11:20-23","2016-08-21T10:30:00","https://gwc-s3.s3.amazonaws.com/1114/8518/7422/08-21-161.mp4","https://gwc-s3.s3.amazonaws.com/7614/8518/7284/08-21-16_audio1.mp3"
"Turn On the Light","Pastor Allen Wickey","1 Kings 19:16","2016-08-14T10:30:00","https://gwc-s3.s3.amazonaws.com/6214/8518/7418/08-14-1611.mp4","https://gwc-s3.s3.amazonaws.com/8814/8518/7283/08-14-16_audio1.mp3"
"Know Who You Are","Pastor Walter T. Branch","Philippians 2:3-11","2016-08-07T10:30:00","https://gwc-s3.s3.amazonaws.com/4714/8518/7413/08-07-1611.mp4","https://gwc-s3.s3.amazonaws.com/9114/8518/7282/08-07-16_audio1.mp3"
"Quit Chasing Donkeys","Pastor Walter T. Branch","Psalms 78:41","2016-07-31T10:30:00","https://gwc-s3.s3.amazonaws.com/8714/8518/7410/07-31-2016-11.mp4","https://gwc-s3.s3.amazonaws.com/3214/8518/7280/07-31-2016_audio1.mp3"
"Who You Know & What You Know","Pastor Walter T. Branch","Matthew 16:13-18","2016-07-24T10:30:00","https://gwc-s3.s3.amazonaws.com/9114/8518/7410/07-24-20161.mp4","https://gwc-s3.s3.amazonaws.com/9714/8518/7279/07-24-2016_audio1.mp3"
"Immaturity Limits Authority","Pastor Walter T. Branch","Acts 15:36-41","2016-07-17T10:30:00","https://gwc-s3.s3.amazonaws.com/7614/8518/7410/07-17-20161.mp4","https://gwc-s3.s3.amazonaws.com/6414/8518/7278/07-17-2016_audio1.mp3"
"Storms of Life","Pastor Walter T. Branch","Matthew 7:21-27","2016-07-10T10:30:00","https://gwc-s3.s3.amazonaws.com/9214/8518/7405/07-10-20161.mp4","https://gwc-s3.s3.amazonaws.com/1414/8518/7277/07-10-2016_audio1.mp3"
"One Nation Under Blank","Pastor Walter T. Branch","Isaiah 55:4","2016-07-03T10:30:00","https://gwc-s3.s3.amazonaws.com/9314/8518/7399/07-03-161.mp4","https://gwc-s3.s3.amazonaws.com/8814/8518/7276/07-03-16_audio1.mp3"
"A Sacrifice of Praise","Pastor Walter T. Branch","1 Peter 2:9-10","2016-06-26T22:30:00","https://gwc-s3.s3.amazonaws.com/4514/8518/7392/06-26-161.mp4","https://gwc-s3.s3.amazonaws.com/4914/8518/7275/06-26-16_audio1.mp3"
"Moved With Fear","Pastor Walter T. Branch","Hebrews 11:7","2016-06-19T10:30:00","https://gwc-s3.s3.amazonaws.com/3314/8518/7388/06-19-20161.mp4","https://gwc-s3.s3.amazonaws.com/4314/8518/7274/06-19-2016_audio1.mp3"
"Attached to, Not A Part of","Pastor Walter T. Branch","Romans 12:1-2; Genesis 1:25-26","2016-06-12T10:30:00","https://gwc-s3.s3.amazonaws.com/3714/8518/7384/06-12-20161.mp4","https://gwc-s3.s3.amazonaws.com/3214/8518/7272/06-12-2016_audio1.mp3"
"I Can Do","Pastor Walter T. Branch","Philippians 4:13","2016-06-05T10:30:00","https://gwc-s3.s3.amazonaws.com/2414/8518/7380/06-05-20161.mp4","https://gwc-s3.s3.amazonaws.com/9714/8518/7271/06-05-2016_audio1.mp3"
"It's Just a Matter of Time","Pastor Walter T. Branch","Exodus 17:8-16","2016-05-29T10:30:00","https://gwc-s3.s3.amazonaws.com/3714/8518/7374/05.29.16am.mp4","https://gwc-s3.s3.amazonaws.com/4314/8518/7269/05.29.16am_audio.mp3"
"The End Times Church","Pastor Walter T. Branch","Haggai 2:9","2016-05-22T10:30:00","https://gwc-s3.s3.amazonaws.com/6714/8518/7370/05.22.16am.mp4","https://gwc-s3.s3.amazonaws.com/1514/8518/7268/05.22.16am_audio1.mp3"
"Lay Aside Every Weight","Pastor Walter T. Branch","Hebrews 12:1-4","2016-05-15T10:30:00","https://gwc-s3.s3.amazonaws.com/8314/8518/7361/05-15-161.mp4","https://gwc-s3.s3.amazonaws.com/7314/8518/7262/05-15-16_audio1.mp3"
"The Best is Yet to Come","Pastor Walter T. Branch","Hebrews 11:30-31","2016-05-08T10:30:00","https://gwc-s3.s3.amazonaws.com/2514/8518/7353/05-08-161.mp4","https://gwc-s3.s3.amazonaws.com/4414/8518/7260/05-08-16_audio1.mp3"
"The Empowerment of the Disciples","Pastor Walter T. Branch","Matthew 10:1-10","2016-05-01T10:30:00","https://gwc-s3.s3.amazonaws.com/2614/8518/7344/05-01-161.mp4","https://gwc-s3.s3.amazonaws.com/9314/8518/7258/05-01-16_audio1.mp3"
"You Are Unlimited","Pastor Roger Kelly","Ephesians 3:20","2016-04-24T10:30:00","https://gwc-s3.s3.amazonaws.com/4014/8518/7335/04-24-161.mp4","https://gwc-s3.s3.amazonaws.com/4414/8518/7256/04-24-16_audio1.mp3"
"What University Will You Attend","Pastor Walter T. Branch","Luke 16:19-31","2016-04-17T10:30:00","https://gwc-s3.s3.amazonaws.com/3714/8518/7329/04-17-161.mp4","https://gwc-s3.s3.amazonaws.com/9214/8518/7255/04-17-16_audio1.mp3"
"The Power of One","Pastor Walter T. Branch","Acts 8:5-13","2016-04-10T10:30:00","https://gwc-s3.s3.amazonaws.com/3214/8518/7324/04-10-161.mp4","https://gwc-s3.s3.amazonaws.com/4014/8518/7254/04-10-16_audio1.mp3"
